dcterms:title,dcterms:abstract,nlon:keyword,length
FAMINES,"FAMINESOne of the greatest cares of such a government as this―in fact of any government in the East, should be the provision against the recurrence of famines. This is brought forcibly before us in view of the present scarcity of food among the Koreans. The reason why famines are always imminent in the East is threefold. First the great bulk of the population live absolutely from hand to mouth. The unwritten law by which relatives help each other helps to mitigate this to some extent, but at the same time it is quite apparent that comparatively few Koreans know where their bread for next week is to come from. In the second place the use of rice as a staple of food is always an invitation to famine. A crop which demands so much both from the soil and from the weather is necessarily subject to the caprice of either and silght causes tend to damage or destroy the crop. The use of rice so universally in China and the whole East is an indication that the Chinese, from whom the custom originated, never passed through the pastoral stage of civilization, but passed directly from the savage to the agricultural stage. Finding wild rice in the swamps, as the North American Indians did, they began to use it and as occasion demanded they came to sow the seed, still in swamps which were nature´s rice fields. So it seems that gradually the use of rice, though difficult and costly to grow, became fixed upon these peoples. Of course the third difficulty is the poor facilities for transportation.The question rises, what can a government like that of Korea do to lessen the danger from famine? Of course it can do little to mitigate the first of the causes, namely the improvidence of the people, except to bring about a time when the people shall feel secure in the possession of property even when they do not have political influence to help them. The greatest inducement to improvidence is the uselessness of thrift. In regard to the second point, the universal use of rice, we believe the people ought to be encouraged in the use of more than one single staple of food. How this could be brought about it is hard to say, but it wheat and maize could be introduced into the Korean cuisine we should have more vigorous Koreans, a more complete use of the agricultural resources of the country, and less fear of famine. We are told that a single Chinese firm in Chemulpo cleared $80,000. in one month on the sale of imported rice. This ought not to be possible. if such a condition of things comes about the government should step in and import rice and sell at a price that would well cover all outlay and yet not bring a profit of 100% as occurred in this case. Of course the improvement of means of communication is purely a government matter and it would enhance the revenues of the government, give an outlet to great unopened resources and help to make famines impossible",기사; 정치,2886
"SEOUL, AND MIXED RESIDENCE","SEOUL, AND MIXED RESIDENCE.In the old treaty between China and Korea, ndrawn up in 1882, we find in the Art Ⅳ. the following words:\""While Korean merchants are by rule allowed to trade at Peking, nand while Chineses merchants are allowed to keep up establishments at Yanghoa-jin and Seoul in Korea, they are not allowed to send merchandise to the interior to be there exhibited in shops or sold.\""By virtue of the above proviasion the city of Seoul was thrown open to the mixed residence carly in the eighties. The Korean government soon found outj the great mistake it had committed on the subject and made repeated attempts to rectify it. When General Yuen, the Chinese Minister, was in Seoul, he was ready to help Korea out of the difficulty. But through the fatal habit of procrastination and downright indifference to public interests-two distinguishing characteristics of our statesmen-fine opportunities for delivering Seoul from the undesirable consequences of mixed residence were lo◈ time and again. Ten or fifteen years ago the question could have been settled without much ad. Now, it would be impossible to do anything of the sort.But, it may be asked, what objection can there be to a mixed residence? The influx of Japanese, Chinese, and other foreigners brings with it money and intelligence. The former gives the Kroeans work while the latter, npractical education. All this is no doubt very tempting. only we fear that Koreans will soon find no place to live in the city, nhowever much they stand in need of capital and education. Seoul ill, in course of a few years, ncease to be a city of Koreans. Already nearly one-third of the town is owned by foreigners, mostly Japanese and Chinese. Some of the most important business locations along the South Gate street, and other thoroughfares are occupied by the merchants of Japan and China. It is but a question of time, a very short time at that, when the city will be wholly Chinese and Japanese with a Korean settlement driven to some unimportant corner. For this mournful prospect Koreans have nobody to blame but their own government. If mixed residence were a blessing Japan would have granted it thirty years ago. The subjects of the Mikado were in the first year of Meiji far superior to the Koreans of to-day in energy and intelligence. The Japanese Government, nin its worst days was stronger by far then the invertebrate Korean officialdom, under which ten millions of helpless and hopeless human beings groan. What Japan was wise enough not to do is the last thing Korea should have done. yet Japan did not grant a mixed residence until her citizens were advanced far enough to stand the competition of other nationals, while Korea opened the floodgate of foreign settlers before any provision has ever been even thought of for the protection of the interests of its people.But what is the use of crying over spilt milk? The merchantile establishments in the city owned by the Chinese and Japanese alone would not be given up except for immense compensation entirely beyond the financial resources of the Korean government. Even if Korea were able to do so, these merchants would not likely give up their vantage grounds. The only hope, therefore, nfor saving Seoul from being entirely transformed into a partly Japanese and partly Chinese town would be the formation of a settlement or settlements beond which no foreigner may reside.This question, to our positive knowledge, was a few years ago agitated and came near being satisfactorily settled when the tragedy of October, 1895, put a sudden stop to its progress. It may not be too late yet to carry out the scheme of settlements. We hpe the Korean government may pay some attention to the subject which, though not so important as offering sacrifices to spirits, or as making money by creating useless offices, is vital, to say the least, nto the welfare of tens of thousands of oppressed people",정치; 기사,3929
法律,"官報○法律 [前号續]第四百四十五條 親屬이나 他人이 死者의 遺言을 從야 屍를 燒化하거나 水中에 棄置 者 笞一百에 處이라 △第四百四十六條 喪葬의 祭禮를 僭濫히 거나 墳墓의 石物을 踰制 者 笞四十에 處이라 △第四百四十七條 地方任所에 在 官人이 病故하야 財力이 無으로 返喪치 못 境遇에 該管官司에셔 出資助護하고 繼卽報勘호 違 者 笞四十에 處이라第二節 葬埋違犯律第四百四十八條 京城十里內에 入葬 者 懲役三年에 處이라 △第四百四十九條 各地方官舍地界內에 犯葬 者 左開에 依야 處이라 一 闕牌奉安 舘舍四面二百步內에 懲役五年, 二 校宮四面二百步內에 懲役三年, 三 官舍四面二百步內에 懲役二年 △第四百五十條 陵園墓界限內에 犯葬 者 左開에 依하야 處이라 一 陵寢垓字內에 懲役終身, 二 園墓垓字內에 懲役十五年, 三 歷代帝王陵寢界限內에 懲役七年 △第四百五十一條 胎室界限內에 犯葬 者 左開에 依하야 處이라 一 大皇帝胎室에 懲役三年, 二 皇太子皇太孫胎室에 懲役二年半, 三 皇子胎室에 懲役二年 [未完]",정치; 기사,525
隆煕貳年八月貳拾七日 官報,●法律法律第二拾二號●東洋拓殖會社法 續第六章 監督及補助五 第二拾四條의 規定에 違反하야 東洋拓殖債券을 發行 但第二十九條境遇에 此限에 不在홈六 第二拾九條의 規定에 違反야 東洋척殖債券의 償還을하지아七 第三拾二條及第四拾一條의 規定에 違反야 利益金을 措處第四拾三條 東洋拓殖株式會社의 総裁나 副聦裁又 理事가 第拾壹條의 規定에 違反 二拾圜以上二百圜以下의 過料에 處附則第四拾四條 政府 設立委員을 命야 日本國政府의 命 設立委員과 共同야 東洋拓殖株式會社의 設立에 關 壹切事務 掌理케第四拾五條 設立委員은 定欵을 作야 政府의 認可를 受 後株主를 募集이 可第四拾六條 設立委員은 株主의 募集을 終了 株式加入請求書를 政府에 提出야 東洋拓殖株式會社設立의 認可를 申請이 可第四拾七條 設立認可가 有 設立委員은 遲滯말고 各株에 對야 第壹回辦納을게前項의 辦納이 有 設立委員은 遲滯말고 創立総會 招集이 可第四拾八條 創立總會가 終結 設立委員은 其事務를 東洋拓殖株式會社總裁에 傳掌이 可第四拾九條 第壹期의 理事及監事 株主總會에 選擧에 依치아니야 此 任命되 其他條件에 對야 第拾條의 例에 依 (完),기사; 정치,587
啓明出現,●啓明出現  江華郡沙谷私立啓明學校趣旨가 如左니 傳에 曰學은 三代共之라니 三代之損益이 不同나 學校則莫或異也라 自國都로 至于鄕里에 無不遍니 黨有庠고 州有序고 鄕有校고 里有塾야 四民이 皆從學校成業고 百官이 皆從學校登用야 人無不學之人야 入孝出弟와 忠君愛國之心이 皆從敎育中成就야 以致熙皥之治러니 後世學校廢而政敎가 隨而陵夷야 徒尙浮文고 不務實業야 東亞政敎가 腐敗至此니 嗚呼라 三代聖王이 豈非東亞之人哉아마는 其人其敎가 廢야 神州之陸沈이 至此니 豈不痛恨哉아 現今歐美의 富强은 專由敎育人才니 開廣知識야 以一物之不知로 爲已憂고 以一事之不修로 爲已責야 學不離物고 心不離事야 事物이 爲國務고 國務ㅣ即身分이리 學問事物이 非二致故로 智巧ㅣ日盛고 國務身分이 無分別故로 富强이 日進니 此其法이 合於古而宜於今也라 今我大韓에 國辱至此 非疆土之小也며 非民智之下也라 其咎ㅣ亶在乎不敎育而已라 不學之人은 心昏智闇야 幷無實心實業니 外國未通之時에 猶可自守어니와 方此歐亞混處之日야 鳥免紅人黑人之裾哉아 鳴呼라 國無自立之權이면 民安有自由之力이리오 言念及此에 熱血이 沸騰커 猶尙膠守陋習고 甘爲昏闇면 是猶病不求藥고 死不求生이니 噫其危矣라 三代之法은 尙矣라 至若近世에 轉敗衂而大勝고 脫覊絆而獨立은 美利堅과 普魯士에 已驗良方이 惟學校是耳라 何幸年來에 我大韓이 稍稍有一線陽脈야 公私校塾이 相繼而起고 惟我大皇帝陛下詔勅이 屢降셔 敎育의 進步가 從此庶歲나 惟玆沁州ㅣ僻在海濱야 風俗이 尙樸고 聞見이 未廣야 年少子弟未免空踈터니 幸賴有志諸人이 議▣新塾야 命名曰啓明이라니 啓明者 開明之義也라 然이나 有名에 必有實이니 塾曰啓明者 名而已라 所謂實者 以實心으로 務實事是也니 是 不在於塾고 亦不在於命名고 亶在於吾人身上니 從人冷煖고 効人嚬笑 乃非實心이니 旣無實心이면 焉有實事며 旣無實事면 焉望實効리오 惟我同志 以雪心으로 求實事야 各以一心으로 思窮萬物之理며 各以一肩으로 思擔一國之重라 此心이 雖㣲나 合衆人之心智면 無物不成고 此肩이 雖弱나 合衆人之肩力이면 無國不强리니 此所謂團軆也라 開廣智慮면 義務ㅣ自生니 義務生면 則團軆自成이 如以左手로 護持右手며 如以右手로 護持左手며 白刃이 當身면 左右手가 俱爲扞禦야 惟爲身念고 手不自恤니 身之痛이 非手之痛이언마는 身不存이면 手不能徒存일니 手欲存身이 乃所以自存이니 國猶身이오 民猶手라 以手護身은 手之職也어 醉夢人之手 雖有身患나 不知所以護持니 今用力於新學야 開我知識면 吾人兩手가 將爲醒覺人之手야 能護持吾身也라니 兦羊固圉가 雖云晩矣나 羡魚結網이 庶有得焉이니 惟我同志 勉哉어다,기사; 사회,1275
작일 독립협회에셔 국긔원 경츅회를,잡보○작일 독립협회에셔 국긔원 경츅회를 독립관과 독립문압 량쳐로 분셜얏 숑문 우희 긔원경츅이라 황금대로 황황히 써셔 달고 보진 포를 졍졍 졔졔히 후에 샹오 십일시에 회쟝 윤치호씨가 회고 회대지를 회즁에 공포후 회원 졍교씨가 국긔렴을 련셜되광무 이년 구월일일은 우리 대한 뎨국 국긔원 오륙회 경졀이라 션갑 임신년 이 이날에 아태죠셔 요슌의 덕과 탕무의 공으로 슌텬응인샤보위에 오르샤 억만년 무강의 긔업을 여시고셩 신손이 계계 승승 샤 외탕 신 덕으로 희호 지치를 일우시니 삼쳔리 강토와 이쳔만 인구가 오년 인텬화일즁에 함양 엿도다 우리대황졔 페하셔 대셩인의 품으로 즁흥의 운을 당샤 동양의 독립 긔쵸를 확고케 시며 만국과 평 권을 잡으샤 광무원년 동십월에황뎨위에 즉 시니 이 실노 우리태죠셔 창업신 공덕을 계슐 심이오 이 긔원경졀을 당야 대쇼 관민이 독립관에 회야 만셰를 부르니 대뎌 츙군 애국의 으로 문명 부강의 방을 강구야 우흐로태죠와 렬셩죠와 황샹 페하의 셩덕을 보답며 아고 동포 형졔를 애호 유지야 명과 신톄와 산과 명에와 유의 권율 보슈며 안으로 정부를 보좌 야 졍과 볍을 공평히 며 밧기로 각국의 어모 방과 평화의 약속을 직혀 긔원경졀을 억만년에 이르게 이 진실노 긔렴 대지니 우리 동포 힘써 나아 가기를 바라 니다 고 부회쟝 리샹씨 뎨국 젼진을 연셜 되 아태죠 국 신지 오륙년 만에 샹년에 우리대황졔 페하셔 하 흐신 덕으로 즁흥 대업을 셰우샤 대한황뎨국이 되엿슨즉 젼일 죠션 왕국이 안이오 곳 오 대한 뎨국이라 현금 셰계 만국즁에 구라파에 아라샤 덕국 오디리 영길리와 아셰아에 쳥국과 일본은 다 뎨국인 우리도  이 여러 나라와 치 동등 당당 뎨국대황뎨시고대황뎨국 졍부요대황뎨국 인민이라 우리 나라 강토 삼쳔리와 인구 이쳔만과 산쳔이 슈려고 토디가 고유며 금은 동텰 탄 어염 시슈 곡  과가 토리에 맛당치 안이 이 업고 우마 계견등 륙츅이 번셩치 안이 것이 업슨즉 이러 토디 인민 물산으로 문명 부강  디경에 젼 진기가 무엇이 어려으리오 젼진 이라 것은 압흘 향야 거름을 나아가 것이라 비유컨 사 나히 장 만리를 가랴 면 몬져 거름 나아가고  거름 나아가 로에 리를 나아가고 열흘에 쳔리를 나아가면 일에 가히 만리에 밋칠 지라 만일 만리가 너무 머러 내 엇지 가랴 고 혹 거름이 물너가며 혹 셔셔 움 이지 안이면 비록 십년 이라도 반시 거름도 나아갈 날이 업슬지니 진실노 압흐로 나아가 고쟈 면 반시 거름 거롬이 쉬지 안이고 부즈런고  부즈런 연후에야 될터이라  나라에 진보 것도  이와 흐니 문명부강  디경에 나아 가랴 면 오  일을 고 일 일을 고 일년에 삼 륙십 여를 고 십년에 삼쳔 륙 일을 면 연히 문명 부강 디경을 일울지라 만일 문명 부강이 이러온 일이라 우리 나라 오 형샹으로 써 엇지 리오 고 인슌면 쳔연즉 비록 몃십년 이라도 반시 일도 나아가 일이 업슬 터이니 진실노 나아가고쟈 면 반시 부즈런야 지안이 것이라  나아가기를 비록 부즈런히 야도 이 두 사의 일이 안이라 비컨 사 몸에 발은 비록 나야가랴 나 이목이 듯고 보지 안이며 다리와 팔이 움이지 안이면 발이 감히 나아가지 못고 이목과 다리와 팔이비록 나아고쟈 나 말이 병이 잇슨 즉 이목과 다리와 팔이엇지 거러가리오 정부 우리대황뎨 페하의 명령을 밧드러 야 신임 이목과 고굉이오 우리 인민은 곳 우리황샹의 발이라 비록 그즁 아래에 잇스나 능히젼국에 무거움을 싯니 발업 사이 엇지 거름을 나아가며 셩업 나라이 엇지 진보리오 인민이 비록 나아가랴 드도 정부가 안이면 능히 못고 정부가 비록 나아가랴 드 인민이 안이면 어곳에 베풀니오 그러즉 이목과 고굉과 발이 합력 동심 연후에야 사이 가히 거러가고 정부와 인민이 동심 합력 연후에야 나라이 가허 진보지라 여러분이 오날 구미 일본등 각각이 우리 보다 몬져 나아가 임의 멀게 갓스니 우리가 니 좃차 가것이 로가 급고 각이 급니 쥬야로 지 안이 것이 가지라 우리 나라가 임의 거름을 시작얏스니 가위 반길이나 갓슴이라 독립협회 셜시지 불과 쥬년에 사 마다 츙군국  이 업고 일마다 공평정직 의론이업셔 기간 졍부에셔 일마다 용엿스니 이것이 정부와 인민이 동심 합력이 안이리오 우리 나라 억만년 무강 복과 억만리 압길이 거의 이에 잇스니 여러분은 속속히 거름을 나아가자 고 그후에 이원 악공과 가가 송축 노를 고 회즁에셔 만세를 부리고 각학교 학도들이 국가를 부룬후에 쥬과를 나아와 평슌이 나혼후에 페회고 다시 독립관으로 가셔 외국 제빈을 졉고 하오 다셧시에 페회후에 이원풍악을 압셰오고 문안으로 드러와 무소거지 가더라,기사; 사회,2444
辨粟飯之說,雜報⊙辨粟飯之說帝國新聞을 據한 則 憂民粟飯이란 題下에 咸鏡南道觀察使 徐正淳氏난 年紀가 至今 六十九歲인 管下各郡百姓이 餓死한다난 報告를 接見以後난 憫迫을 不勝야 雜糓飯으로 延命고 賑恤 方針을 講究되 錢糓間에 預筭이 全無야 惠民院處分만 苦待한다 얏스니 吾輩난 評노니 此說이 果然이면 咸鏡南道貧民은 焦類가 必無 듯노니 原來 政府에셔 觀察使를 擇送은 該道內人民의 休戚을 觀察에게 專任얏거 大無之年을 當야 錢穀間預筭이 全無다 고 賑恤救濟 方針을 講究치 못고 惠民院處分만 苦待다 니 是난 吾輩의 遺憾을 不堪도다 大抵 惠民院은 實際惠民의 主義가 無고 但 美名을 假야 借啣을 輪出난 衙門이라 一條半計라도 惠恤난 實蹟이 無거 惠民院處分만 苦待고 賑恤策을 不究 地境이면 卽大癡아니면 大寐之人이라 徐正淳氏난 愛民憂國에 名譽가 夙著한 宰相인 엇지 如此할 理由가 有리오 萬若 自己의 粟飯으로 救民할 方針이라 할진 是난 幾萬生命을 溝壑에 擠之고 自己一身만 貶食함이니 엇지 分憂의 責을 擔任얏다 리오,기사; 사회,524
죠셔야 갈샤 짐이 덕 업슴으로 써죠종의 큰긔업을 밧고,관보 륙월이십오일 호외○죠셔야 갈샤 짐이 덕 업슴으로 써죠종의 큰긔업을 밧고 샹텬의 아름다운명을이어 히 큰 일홈을 밧고 만민을 어거  맛당히 군신 샹가 졍신을 가다 듬어 긔어히 새로은 업을 도모 터인 인슌야 다림을 결을치 못은 무삼 연고인고 긔강이 서지 못며 법률이 지 못며 물이 군 이 다 눈압헤 셩과 나라의 근심인바 진실노 사이 잇스면 졍가 을치지 못을 엇지 근심리오 갑오와 을미 변란을 지후로 형용과 자최에 거리 여 비록 어진 죠와 아름다온 그틋시 잇드도 뭇치고 슘겨 쓰지 못야 셩이 원통을 펴지못이 엇지 왕도에 공평 시리오 역범의 죄가 죵샤에 관계 자는 법에 잇셔 놋치 못거이니 짐이 혼자 가히 놉히고 낫치지 못어니와 그나마 히 혹 겨가고 상소를 맛자 아울너 탕쳑 셔용야 야금 의심과 두려움을 품지말고 각각 졍셩을 다되 금일노 붓터  샹과  벌이라도 넘치미 업시 시 고 다 공병된 의론으로 되 안으로 착고 어진사을 모해거나 밧그로 당을 일우어 죠졍을 비방 자는 법률이 니 결단코 용셔치 아니 거시오 지어 암혈에 션가 진실노 가지 죠와 가지 릉 거시라도 시무에 맛당 잇거든 졍부에셔 일톄로 거두어 써셔 짐의 목마른것 치 다림을 구 람을 맛치라  셧더라,기사; 정치,665
挾戶愛國,我國之歸債券과 我民之作債奴가 盖有年矣라 現今三千리疆土를 不知誰手螳捕고 二千萬家屋을 不知何身鳩居而禍懸眉睫고 蠱入肝腑則曷不一場痛哭而大聲疾呼于我大韓國氏也哉리요 惟我 大皇帝陛下負外債一千三萬元而淸帳이 沒策야 宵간憂虞시니 則爲我赤子者固當熱心竭蹶야 報상之不暇어 而苟或遷延翫게라가 利殖漸繁이 如海潮然야 到達極滿고 如月輪然야 到達極圓이며 雖欲報償이니 得乎아 勢必無國無家無身後已니 然則我父我母와 我兄我弟와 我姊我妹와 我妻我子가 當何往何居며 何賴何食고 波蘭埃及越南이 此其前轍也라 忍見我父母兄弟와 姊妹妻子가 爲沙礫爲灰燼爲魚鼈고야 而不思所以救濟之道乎아 語未出喉에 淚先被면이라嗚呼急矣로◈ 然則保我韓土고 保我韓種이 惟汲汲償債的一方針而已어 何幸天誘我民衷야 一呼萬應에 擧國脹膨야 以及乎庖丁娼妓와 輿臺酒姬와 瞽躄丐乞이과 懲因匪徒가 莫不爭先恐後야 盡力義捐고 外國之人도 亦爲之矜惻我情實고 愛惜我態象야 種種有義助者니 豈是人力之所使爲也리요盖大意也라 伏願我同胞 毋或遲徊고 亟結團體야 熱性爭捐야 還我債券고 贖我債奴야 頂而戴大韓之天고 踵而蹈大韓之地를 千萬泣血至要발起人 進士鄭인卓 前主事全병泰等,사회; 기사,557
敍任及辭令,●敍任及辭令任陸軍步兵參領 正二品 李容翊   光武六年十二月十六日任特命全權公使敍勅任官三等 宮內府特進官 金昇圭   光武六年十二月廿九日鎭衞第四聯隊第二大隊中隊長陸軍步兵正尉 朴正郁 鎭衛第四聯隊第三大隊中隊長陸軍步兵正尉 金錫胤 鎭衞第四聯隊第二大隊附陸軍步兵副尉 張益煥 鎭衛第四聯隊第二大隊附陸軍步兵副尉 李義爀 鎭衞第四聯隊第三大隊附陸軍步兵副尉 趙在弴 鎭衛第四聯隊第一大隊附陸軍步兵參尉 崔致鉉 鎭衛第四聯隊第二大隊附陸軍步兵參尉 金京澤 鎭衛第四聯隊第三大隊附陸軍步兵參尉 崔岐鉉 仝 金明薰 仝 崔光根 免本職 補鎭衛第四聯隊第二大隊中隊長 陸軍步兵正尉 金錫胤 ○補鎭衞第四聯隊第三大隊中隊長 陸軍步兵正尉 朴正郁 ○補鎭衛第四聯隊第一大隊附 陸軍步兵參尉 崔光根 ○陸軍步兵副尉 趙在弴 陸軍步兵參尉 崔岐鉉 仝 金明薰 補鎭衞第四聯隊第二大隊附 ○陸軍步兵副尉 張益煥 仝 李義爀 陸軍步兵參尉 金京澤 仝 崔致鉉 補鎭衞第四聯隊第三大隊附   以上光武六年十二月三十一日趙秉濬 南宮鍾 郭相舜 池敎源 池尙源 申庸植 閔成鎬 任通信司電話課主事敍判任官八等 ○中樞院議官 劉承雲 仝 李恒善 仝 康孝習 仝 吳宗甸 仝 洪昌德 仝 李根和 仝 李建鎬 依願免本官 ○正三品 石漢植 仝 朴萊鎭 仝 韓七杓 仝 金泰鉉 仝 崔永來 仝 陳鍾玉 仝 白燦柱 任中樞院議官敍奏任官六等   以上一月四日通信司電話課主事 金貞秀 仝 吳德三 仝 金聲淵 成均舘博士 李根濟 仝 李鳴夏 仝 成墉 東萊監理署主事 吳顯昌 依願免本官 ○白南正 李敎榮 洪鍾驥 任成均館博士敍判任官六等 ○任東萊監理署主事敍判任官六等 吳興模 ○晉州電報司主事 洪泰健 任大邱電報司主事敍判任官六等 ○漢城電報司主事 崔鏞圭 任晉州電報司主事敍判任官四等 ○任漢城電報司主事敍判任官六等 李源昌   以上一月五日,기사; 정치,807
部令,○部令  度支部令第九號    〔續〕  二  合名會社에在야其社員의      納稅額을幷고又合資會社에      在야其業務担當社員納稅      額을併야前項의例에依야      納稅年額을貳個年以來로繼續      納付者  三  株式會社에在야入札金額      에應야左에記載資本金의      納入畢者      入札金額一千圜以上五萬圜未      滿  金五萬圜以上      入札金額五萬圜以上十萬圜未      滿  金十萬圜以上      入札金額十萬圜以上  金十五      萬▣以上      前項第一號第二號의納稅額은      外國人에在야其本國又      居留民團或은各國居留地會에      納付各種에稅金을合筭홈  第二條  營業에關資格은左와如    홈    旣往三個年間에在야一件에對    야入札金額의三分  以上에相    當工事請負契約을完全히履行    者      附  則  第三條  建築所長官이必要로認    時工事或은物品의種類에依    야本令의一部適用을得홈  第四條本令은頒布日로붓터施行홈,기사; 정치,509
地方消息一通,"●地方消息一通△楊口로 發行 日兵이 楊口附近을 襲擊야 義將 二名과 副將 三名과 其他 拾三名을 殺고 潰走케 얏다 고△本月拾一日 義徒 畧百餘名이 沔川分派所에 來襲야 分派所郵便取扱所民家二戶가 被燒고 該分派所員 三名은 戰鬪後에 二西面南元浦에셔 義徒가 船 二隻을 搭乘逃躱랴 을 追及야 交戰四時間에 其中 一隻에 搭乘 義徒 略六拾名을 殆히 全滅케 얏다 고△咸北日本守備隊에셔 惠山鎭衛道上原時嶺附近의 討伐隊 爲야 派送 日兵 五十餘名이 本月二十五日 原時嶺에셔 堅固 防禦工役을 設 義徒 畧三百名을 攻擊야 激戰後 潰亂얏 義徒 死傷이 五拾名이오 日兵은 戰死 三名, 負傷 四名이오 又拾一人의 言을 據 즉 日本將校가 義徒에게 被殺얏다  즉 必是 新谷大尉가 被殺 貌㨾이오 又日軍東中隊에셔 英陽守備로 派送 日兵 九名이 本月二拾三日에 隆洞에셔 義徒 略百名과 交戰야 擊退고 又本月十日 忠州牧溪에 義徒 略八百名이 有을 知고 該地守備隊에셔 日兵 三拾餘名을 派送야 義徒를 擊退얏다더라",기사; 사회,506
叙任及辭令,○叙任及辭令   ○三月二十日白炳元  任公立宣川普通學校本科副訓導叙判任官四等 ○三月二十  日任嘉山郡守叙奏任官四等  宮內府車馬監文昌奎△任南陽郡守叙奏任官三等  水原郡守徐丙肅△任永平郡守叙奏任官四等  始興郡守李復榮△任始興郡守叙奏任官四等  道主事羅基貞△任水原郡守叙奏任官三等  金寬鉉△任財務署財務官叙奏任官三等  前郡守金裕定△任財務署財務官叙奏任官四等  前郡守權道相△任懷德郡守叙奏任官四等  舒川郡守姜元魯 ○三月二十四日任掌禮院主事叙判任官四等  掌禮院典祀補成圭運△正三品崔炳日  章陵叅奉李潤秀  任掌禮院典祀補叙判任官三等  任  章陵叅奉叙判任官四等掌禮院典祀補李圭瀅依願免本官（三月十九日內閣）  內閣主事朴凖弻△依願免本官  永春郡守趙興元△免本官  三水郡守韓稷淵右咸鏡南道觀察使李範來의報告書據온즉該員이客年十二月十八日叙任後催促赴任이온바尙未赴任야職務放棄不顧라온바似此郡守不可仍寘이기免本官△免本官富平郡守全國煥  右京幾觀察使金思默의報告書據온즉該員이初不請由고帶印上京야自行自止이以至五十七日니似此郡守不可仍寘이라얏기免本官△免本官  蔚珍郡守劉漢容  右江原道觀察使李圭完의報告書據온즉該員이暴徒被害者에게交付救恤金을流用私消다가時日이遲延야終乃郡民에警察署에告訴케고郡衙勾管土地三日耕時價로五十圜假量됨을放賣야邑費에充用코져時에警察署長에注意로中止얏고旨老坪官有松木二百餘株斫伐야郡廳建設에資事로禀請바代金百十餘圜으로放賣얏다가郡廳建設에着手치아니고該金으로學生三名을選拔야京城測量學校에入學所費로지라事實은該郡警察署長과財務署長의報告로叅徵認定이라바該員이身爲郡宰야不美事實이若是的確니似此郡守不可仍寘이기免本官（以上三月二十二日內閣）△掌禮院典官金奎熙  宮內府事務官村上龍佶  掌禮院掌典官朴胄彬內藏院技手劉海鍾  調查기爲야各地方  壇  廟  殿  宮  陵  園墓에出張을命（以上三月二十四日宮內府）△日本國으로셔領受桐花大綬章  宮內府大臣閔丙奭、日本國으로셔領受動四等旭日章  從二品洪淳旭、宮內府大臣秘書官金東完正三品前三和郡守李種煥  日本國으로셔領受動四等瑞寳章  右該員等에게各其領受動章을佩用을勅裁를經야准許홈（以上三月二十三日表動院）,정치; 기사,1010
徃歲日本會社中에 善隣協會를 發起코져,徃歲日本會社中에 善隣協會를 發起코져 者가 有니 其主旨書를 見즉 盖一種正義之論이라韓國人士가 此에 對야 讚揚 文字가 有니 正義에 相感 者라此 兩國正義人士에 言論인 故로 爲之發表 其全文이 如左니君子之心 公而大 貪大之心 私而小 極其公而大者則天地相似也 極其私而小者則禽獸弗若也彼禽獸 亦知愛其族類 人而不如者 縱於利慾故耳 人之智巧 遠於禽獸故 其肆利慾 亦有甚焉窮天下之所欲而專之於己則其貽害于人 流毒于世者 必干天之怒致天之罰矣瘠人而肥我 我則幸利矣 彼爲之瘠者 豈不嫉我乎 奴人而主我 我則自尊矣 彼爲之奴者 豈不仇我乎嫉我者多 仇我者衆 以致兄弟之親 亦不保其友誼 及其勢日孤而時又變則其專利지厚者 其爲禍也益深 歷稽古今吾未見貪之爲福也君子之存心也 愛物而不專愛己 治己而兼謀治人 本諸誠信 行以公平 所推者廣 所及者遠 愛人之效 人亦愛之 安人之效 人亦安之其德不孤 其勢亦固 建無窮之基 亦有無窮之聞 履信思順 天必佑之 歷稽古今 吾未見善之不福也是故私天下之利者 必先天下而受其禍 公天下之利者 必與天下而享福 由其公私之別而禍福之機 捷於影響矣今續日士善隣協會主旨書 竊有所犂然者 盖其主旨 以爲日本舊時文化 自華韓而來則其德不可諼也 値此黃白競爭之秋我東亞三國 有輔車唇齒◈勢尤宜親睦維持 而我旣先學於歐美矣 將其各種學問文字 譯布兩隣 資其見聞 進其敎育可也夫爲此會者 非君子乎 吾以其言 得其爲人矣 盖講舊德而不忘者信也 對時局而修隣睦者智也 推己之學而思博於人者善也信則其與人也 不貳矣 智則其籌大局也不錯矣 善則推之天下而有裕矣 以此措之 寧有不孚者乎噫今之世界 穰徃煕來者 滔滔是瘠人肥我 노人主我之心也 强己弱人 智己愚人之術也雖然以吾東亞三國而或出於是則隣家之失火 及於自家必矣不惟違背德義 其爲得失之關係 亦復灼然明甚而蔽於慾者 不之察矣 貪於小者 莫之顧矣 古今之禍吾同種者 必田於此耳 如使此會主旨 定爲今日大同之公論則對見吾三國之人猜疑頓釋 臭味相合 携手同歸於支明之域 不被他種之虐 其爲福利 孰大於是使吾三國終不克維持其大勢 而有缺裂之患則竊恐後之人 以此言之不行 爲無窮之恨也,사회; 기사,935
